account_number;period;tariff;charged_amount;paid_amount;balance;last_payment_date;inn;phone;status
ЛС-775953322;2025-10;Домашний-300;1076.67;1076.67;0.0;2025-10-03;413695528620;+7(915)689-90-72;active
ЛС-775953322;2025-11;Домашний-300;960.69;960.69;0.0;2025-11-02;413695528620;+7(915)689-90-72;active
ЛС-775953322;2025-12;Домашний-300;880.54;880.54;0.0;2025-12-20;413695528620;+7(915)689-90-72;active
ЛС-160274564;2025-10;Бизнес-500;11494.48;4995.31;-6499.17;2025-10-18;3428757215;89612454324;active
ЛС-160274564;2025-11;Бизнес-500;8868.07;8868.07;-6499.17;2025-11-11;3428757215;89612454324;active
ЛС-160274564;2025-12;Бизнес-500;9212.75;9212.75;-6499.17;2025-12-07;3428757215;89612454324;active
ЛС-164948562;2025-10;Бизнес-500;11748.64;11748.64;0.0;2025-10-04;3428757215;+7(961)245-43-24;active
ЛС-164948562;2025-11;Бизнес-500;10987.52;10987.52;0.0;2025-11-08;3428757215;+7(961)245-43-24;active
ЛС-164948562;2025-12;Бизнес-500;10782.51;10782.51;0.0;2025-12-13;3428757215;+7(961)245-43-24;active
ЛС-165728703;2025-10;Бизнес-500;11660.51;11660.51;0.0;2025-10-25;3428757215;;active
ЛС-165728703;2025-11;Бизнес-500;9132.24;9132.24;0.0;2025-11-21;3428757215;;active
ЛС-165728703;2025-12;Бизнес-500;9437.04;9437.04;0.0;2025-12-17;3428757215;;active
ЛС-617957285;2025-10;Всё включено;2126.2;2126.2;0.0;2025-10-24;621189684424;7960383-75-76;active
ЛС-617957285;2025-11;Всё включено;2128.64;2128.64;0.0;2025-11-07;621189684424;7960383-75-76;active
ЛС-617957285;2025-12;Всё включено;2059.49;2059.49;0.0;2025-12-19;621189684424;7960383-75-76;active
ЛС-168963406;2025-10;Домашний-300;1059.23;1059.23;0.0;2025-10-01;980858382521;+7(915)750-91-89;active
ЛС-168963406;2025-11;Домашний-300;878.23;878.23;0.0;2025-11-19;980858382521;+7(915)750-91-89;active
ЛС-168963406;2025-12;Домашний-300;1016.0;1016.0;0.0;2025-12-07;980858382521;+7(915)750-91-89;active
ЛС-668517328;2025-10;Домашний-100;596.0;596.0;0.0;2025-10-08;178623510765;7906896-87-19;active
ЛС-668517328;2025-11;Домашний-100;649.86;649.86;0.0;2025-11-22;178623510765;7906896-87-19;active
ЛС-668517328;2025-12;Домашний-100;617.51;617.51;0.0;2025-12-16;178623510765;7906896-87-19;active
ЛС-160857216;2025-10;Домашний-500;1456.68;1456.68;0.0;2025-10-06;555158886367;+7 980 393 67 30;active
ЛС-160857216;2025-11;Домашний-500;1493.11;1493.11;0.0;2025-11-05;555158886367;+7 980 393 67 30;active
ЛС-160857216;2025-12;Домашний-500;1488.13;1488.13;0.0;2025-12-18;555158886367;+7 980 393 67 30;active
ЛС-164422583;2025-10;Бизнес-1000;19951.62;19951.62;0.0;2025-10-17;8312172715;+7(951)826-18-80;active
