client_id;segment;company_name;contact_name;inn;phone;email;region;manager;contract_date;account_numbers;status;last_activity_date
CLT-000984;B2C;;Рожков Мстислав Тимурович;997747594434;+7(950)241-85-55;rozhkov457@yandex.ru;Казань;;2025-04-02;ЛС-164037676;active;2025-10-14
CLT-000371;B2C;;Субботина Аркадий Филимонович;423421089028;+7(951)170-51-50;subbotina674@yandex.ru;Санкт-Петербург;;2022-12-26;ЛС-783426433;active;2025-12-23
CLT-000019;B2B;ПАО Харитонова;Голубев Лука Трифонович;8837770143;+7(960)808-41-49;"golubev@p""«kharitonova.tech";Нижний Новгород;Алексеев В.Р.;2021-01-28;"ЛС-525788568;ЛС-525574443;ЛС-521351823;ЛС-523749894;ЛС-521343524";active;2025-12-24
CLT-000657;B2C;;Никифорова Иванна Евсеевич;820217075485;+7(916)393-90-62;nikiforova345@gmail.com;Ростов-на-Дону;;2022-05-21;ЛС-619220300;active;2025-10-23
CLT-000212;B2B;"АО ""Групп""";Белозерова Любим Геннадиевич;3654610339;+7(917)604-75-74;андреева71@bk.ru;Москва;Алексеев В.Р.;2020-10-01;"ЛС-771405786;ЛС-771706304;ЛС-778913824;ЛС-779671832";active;2025-10-21
CLT-009000;B2B;"ООО ""«Терентьев""";Муравьев Варфоломей Бенедиктович;2027588425;+7(916)867-44-25;муравьев790@mail.ru;Москва;Жукова К.Ф.;;;prospect;2025-11-26
CLT-000701;B2C;;Макарова Станислав Эдгарович;682819022179;+7(980)848-78-87;makarova840@mail.ru;Новосибирск;;2024-03-07;ЛС-544883971;active;2025-10-03
CLT-000110;B2B;ИП Николаев С.А.;Сысоев Павел Дмитриевна;8552314913;+7(950)597-67-52;sysoev@nikolaevs.a..company;Санкт-Петербург;Сидорова Е.В.;2023-09-09;"ЛС-784929955;ЛС-786205336;ЛС-784525777;ЛС-785478129;ЛС-781428341";active;2025-12-06
CLT-000077;B2B;Воронцова, ЗАО;Осипов Алина Евсеевич;8109104300;+7(960)618-46-90;osipov@vorontsova.tech;Казань;Козлов Д.И.;2019-11-03;"ЛС-166661889;ЛС-162414183;ЛС-162856914;ЛС-166303161;ЛС-167990421";active;2025-10-08
CLT-000243;B2B;Никонов-Шестаков, ПАО;Власов Влас Тарасовна;3015720185;+7(961)252-90-61;"vlasov@p""«nikonovshestakov.pro";Екатеринбург;Петров А.С.;2019-04-23;"ЛС-660136749;ЛС-662617647";active;2025-12-15
CLT-000811;B2C;;Герасимов Т.Н.;814619953946;+7(981)923-59-62;gerasimov894@yandex.ru;Москва;;2021-08-08;ЛС-772359605;active;2025-12-10
CLT-000863;B2C;;Белова Конон Аверьянович;511420667015;+7(906)362-50-85;belova146@bk.ru;Санкт-Петербург;;2020-06-11;ЛС-781663382;active;2025-12-13
CLT-000749;B2C;;Баранова Роман Константиновна;460244654677;+7(910)137-55-18;baranova105@inbox.ru;Санкт-Петербург;;2023-04-23;ЛС-787308715;active;2025-10-18
CLT-000476;B2C;;Савина Елизавета Фомич;279428179340;+7(960)972-53-95;savina712@yandex.ru;Санкт-Петербург;;2021-08-21;ЛС-787584466;active;2025-11-11
CLT-009012;B2C;;Голубев Лука Трифонович;720999347687;+7(907)189-45-59;голубев141@inbox.ru;Новосибирск;;;;prospect;2025-10-21
CLT-000466;B2C;;Беляев Александра Терентьевич;745057303627;+7(910)764-48-60;belyaev146@yandex.ru;Екатеринбург;;2023-03-02;ЛС-663747677;active;2025-10-01
CLT-000427;B2C;;Титова Варфоломей Натановна;345759833991;+7(926)851-17-34;titova819@bk.ru;Казань;;2021-04-16;ЛС-164366044;churned;2025-05-13
CLT-000783;B2C;;Шашков Игорь Аскольдовна;282226679419;+7(903)889-75-67;shashkov663@bk.ru;Екатеринбург;;2023-05-06;ЛС-666538590;active;2025-12-20
CLT-000007;B2B;ИП Константинов Г.Ф.;Федосеев Клавдий Витальевич;1132677360;+7(915)488-10-59;fedoseev@konstantinovg.f..tech;Нижний Новгород;Алексеев В.Р.;2020-02-01;"ЛС-527468723;ЛС-524309805;ЛС-520097882";active;2025-11-08
CLT-000151;B2B;компания, ООО;Любомир Демьянович Беляков;5958702070;+7(909)492-16-21;belyakov@kompaniya.corp;Санкт-Петербург;Козлов Д.И.;2021-08-23;"ЛС-786299795;ЛС-784538179;ЛС-782171747;ЛС-787332945";active;2025-11-28
CLT-000086;B2B;"ЗАО ""«Денисова""";Юдина Ипат Евстигнеевич;2570433154;+7(909)837-10-16;yudina@denisova.biz;Новосибирск;Сидорова Е.В.;2024-08-30;"ЛС-547626765;ЛС-548617932;ЛС-547104054;ЛС-541152621";churned;2025-01-11
CLT-000385;B2C;;Воронова Варвара Викторовна;866014448564;+7(951)185-11-22;voronova249@inbox.ru;Ростов-на-Дону;;2025-04-15;ЛС-617396417;active;2025-12-11
CLT-000627;B2C;;Волкова Твердислав Эдгардович;699302020304;+7(910)324-26-26;volkova510@inbox.ru;Екатеринбург;;2024-08-23;ЛС-662135302;active;2025-12-17
CLT-000150;B2B;Групп, ООО;Тетерин Поликарп Юрьевна;2570184094;+7(916)428-35-34;teterin@grupp.group;Новосибирск;Волков К.А.;2020-09-29;"ЛС-544857142;ЛС-542410988;ЛС-541385854";active;2025-12-16
CLT-000228;B2B;Яковлев, АО;Николаева Наум Геннадьевна;4807017656;+7(916)506-14-11;nikolaeva@yakovlev.tech;Санкт-Петербург;Алексеев В.Р.;2019-11-21;"ЛС-781257771;ЛС-781837274;ЛС-782209124";active;2025-12-13
CLT-000221;B2B;партнеры, АО;Егорова Майя Романовна;2026153473;+7(951)928-57-94;ершова689@gmail.com;Ростов-на-Дону;Михайлова О.Н.;2024-11-28;"ЛС-618961122;ЛС-613386559";active;2025-12-22
CLT-000674;B2C;;Котов Егор Юрьевна;222121548158;+7(910)990-65-79;kotov549@inbox.ru;Ростов-на-Дону;;2022-08-31;ЛС-616401918;active;2025-10-19
CLT-000158;B2B;"ООО ""Палп""";Самсонов Аггей Бенедиктович;3927524372;+7(905)451-20-28;samsonov@palp.company;Москва;Петров А.С.;2023-12-17;"ЛС-772766372;ЛС-773950410;ЛС-772767478;ЛС-773667428;ЛС-776047658";active;2025-12-26
CLT-000826;B2C;;Носков Фёкла Еремеевич;775826762590;+7(961)950-30-11;noskov251@mail.ru;Москва;;2022-03-04;ЛС-773856461;active;2025-12-18
CLT-000616;B2C;;Лукина Гаврила Герасимович;171732798059;+7(951)759-13-39;lukina50@mail.ru;Новосибирск;;2025-06-29;ЛС-546493403;active;2025-12-02
CLT-000841;B2C;;Ильина Валерия Леоновна;659469890623;+7(910)571-28-38;ilina122@inbox.ru;Екатеринбург;;2024-04-15;ЛС-669890223;active;2025-12-11
CLT-000803;B2C;;Блохин Иларион Давидович;699919387337;+7(905)294-48-33;blokhin873@gmail.com;Нижний Новгород;;2024-07-13;ЛС-524748904;active;2025-12-24
CLT-000133;B2B;"АО ""«Буров-Лапин»""";Муравьев Синклитикия Тарасович;1433504888;+7(910)196-14-68;muravev@burovlapin.biz;Санкт-Петербург;Волков К.А.;2024-06-18;"ЛС-782245933;ЛС-784419693;ЛС-781572791";active;2025-12-07
CLT-000351;B2C;;Гущина Фаина Даниловна;555158886367;+7(980)393-67-30;gushchina410@yandex.ru;Казань;;2023-09-09;ЛС-160857216;active;2025-10-14
CLT-000074;B2B;"ЗАО ""«Гаврилов-Рыбакова»""";Зимин Елизар Леоновна;5241541520;+7(960)740-49-99;zimin@gavrilovrybakova.company;Нижний Новгород;Новикова Т.М.;2022-09-26;"ЛС-526110371;ЛС-522938700";active;2025-10-15
CLT-000116;B2B;"ООО ""Лтд""";Раиса Феофанович Калашников;9811729806;+7(961)479-15-99;kalashnikov@ltd.company;Казань;Лебедева Н.Г.;2020-12-06;"ЛС-166376599;ЛС-161624731;ЛС-164986430;ЛС-160981806;ЛС-163565126";active;2025-10-08
CLT-000378;B2C;;Гордеева Кондрат Терентьевич;356529060320;+7(910)749-14-40;gordeeva407@yandex.ru;Ростов-на-Дону;;2023-07-20;ЛС-610977539;active;2025-11-23
CLT-000644;B2C;;Бобылев Лонгин Федосеевич;276484673574;+7(910)248-36-37;bobylev146@yandex.ru;Нижний Новгород;;2022-11-18;ЛС-528019442;active;2025-10-10
CLT-000789;B2C;;Ермакова Евгения Эльдаровна;592815037017;+7(905)713-29-62;ermakova44@gmail.com;Екатеринбург;;2019-09-26;ЛС-660308808;active;2025-10-15
CLT-000206;B2B;Мартынов, АО;Калинин Нестор Геннадиевич;6626060290;+7(926)529-61-97;kalinin@martynov.solutions;Москва;Козлов Д.И.;2018-04-25;"ЛС-774550489;ЛС-772673899;ЛС-777563410;ЛС-778562884;ЛС-773188485";active;2025-12-10
CLT-000516;B2C;;Щербакова Радим Исидорович;886880023009;+7(909)442-63-24;shcherbakova131@bk.ru;Москва;;2021-12-16;ЛС-778036577;active;2025-12-05
CLT-000552;B2C;;Антонова Фрол Гавриилович;868316082717;+7(915)164-68-97;antonova204@yandex.ru;Казань;;2020-12-07;ЛС-163992052;churned;2025-01-05
CLT-000112;B2B;ООО Анисимов;Полина Сергеевна Кузнецов;5530385677;+7(905)140-93-51;kuznetsov@anisimov.corp;Санкт-Петербург;Морозов И.П.;2024-08-04;ЛС-788449892;active;2025-11-19
CLT-000575;B2C;;Колобова Ладислав Харлампьевич;104806757123;+7(960)676-20-48;kolobova413@bk.ru;Санкт-Петербург;;2023-10-01;ЛС-781287942;active;2025-11-23
CLT-000225;B2B;"ПАО ""Никонова»""";Павлов Аникита Зиновьевич;8805292407;+7(951)447-38-63;"pavlov@p""nikonova.company";Санкт-Петербург;Волков К.А.;2019-12-04;"ЛС-786845909;ЛС-780225999;ЛС-789663618;ЛС-786371597";active;2025-11-01
CLT-000969;B2C;;Петрова Иванна Федосеевич;930632365401;+7(909)764-49-47;petrova173@gmail.com;Москва;;2023-02-15;;active;2025-10-13
CLT-000162;B2B;ИП Тимофеев И.Д.;Журавлев Марина Георгиевич;8766183067;+7(909)680-78-55;zhuravlev@timofeevi.d..tech;Москва;Фёдорова Л.С.;2019-07-28;"ЛС-774601585;ЛС-771743280;ЛС-776346157";active;2025-11-14
CLT-000880;B2C;;Сергеев Сигизмунд Феодосьевич;635069626168;+7(925)933-54-53;sergeev331@yandex.ru;Москва;;2024-06-15;ЛС-777410254;active;2025-11-07
CLT-000355;B2C;;Никифорова Александра Григорьевна;976112491256;+7(950)245-41-71;nikiforova271@yandex.ru;Екатеринбург;;2022-04-24;ЛС-665177345;active;2025-10-02
CLT-000166;B2B;"ЗАО ""Молчанов»""";Ефимов Ладислав Авдеевич;2962071002;+7(906)823-93-85;efimov@molchanov.tech;Москва;Алексеев В.Р.;2020-02-26;"ЛС-776723248;ЛС-777632909;ЛС-772791456";active;2025-10-22
CLT-000175;B2B;ИП Савельев П.Е.;Кононова Харитон Федотович;3975170281;+7(926)125-61-89;kononova@savelevp.e..biz;Ростов-на-Дону;Фёдорова Л.С.;2023-09-28;"ЛС-617515093;ЛС-619834301";active;2025-10-09
CLT-000259;B2B;"ПАО ""Уралхим""";Евсеева Павел Ивановна;2820916601;+7(903)881-92-15;"evseeva@p""uralkhim.solutions";Екатеринбург;Лебедева Н.Г.;2019-10-31;"ЛС-663142900;ЛС-661851327";active;2025-10-24
CLT-000230;B2B;"ЗАО ""Панфилов»""";Русаков Ираклий Кирилловна;4106005313;+7(909)916-95-31;rusakov@panfilov.group;Новосибирск;Михайлова О.Н.;2021-12-31;"ЛС-540681558;ЛС-543938661";active;2025-10-10
