user_login;portal_type;account_number;display_name;email;phone;last_login_date;logins_count_q4;tickets_count_q4;payments_online_q4;services_active;registered_date
kozlova408@mail.ru;b2c;ЛС-616801867;Козлова Андрон Андреевич;kozlova408@mail.ru;+7(981)683-83-11;2025-12-24;23;1;1;"Телефония;Интернет;VPN";2025-01-29
kabanov349@inbox.ru;b2c;ЛС-160974533;Кабанов Иларион Фролович;kabanov349@inbox.ru;+7(961)985-56-72;2025-12-28;1;1;1;"Интернет;Телефония;Антивирус";2024-03-11
sidorova@smirnova.group;b2b;ЛС-546254361;Я;sidorova@smirnova.group;+7(909)657-47-23;2024-09-21;0;0;0;"Облако;Антивирус;VPN;Интернет";2024-04-21
shubin523@gmail.com;b2c;ЛС-771644037;Шубин Лора Арсенович;shubin523@gmail.com;+7(950)148-28-60;2024-07-26;0;0;0;Антивирус;2023-05-02
"lytkina@p""grupp.pro";b2b;ЛС-169652239;Лыткина Якуб Робертовна;"lytkina@p""grupp.pro";+7(903)491-55-71;2024-04-26;0;0;0;"Интернет;Облако;Телефония";2024-09-10
terenteva467@gmail.com;b2c;ЛС-783974292;Терентьева Софрон Валерьевич;terenteva467@gmail.com;+7(980)876-50-23;2025-11-12;1;0;1;ТВ;2022-06-24
ilina122@inbox.ru;b2c;ЛС-669890223;Ильина Валерия Леоновна;ilina122@inbox.ru;+7(910)571-28-38;2025-10-11;10;0;2;"Облако;Интернет";2025-06-20
kovaleva@grupp.pro;b2b;ЛС-168270808;Ковалева Август Ефимьевич;kovaleva@grupp.pro;+7(909)890-67-68;2024-06-05;0;0;0;"Телефония;VPN;ТВ;Облако";2020-02-19
kuzmin148@gmail.com;b2c;ЛС-163196463;Кузьмин Мечислав Демидович;kuzmin148@gmail.com;+7(950)776-66-91;2025-12-17;27;0;5;"Облако;Интернет;ТВ";2022-08-24
79096072819;b2c;ЛС-664381300;Калинин Всеслав Алексеевич;kalinin248@gmail.com;+7(909)607-28-19;2021-12-20;0;0;0;Интернет;2021-08-26
baranov@nesterov.solutions;b2b;;Баранов Софон Данилович;baranov@nesterov.solutions;+7(981)808-73-57;2025-06-11;0;0;0;Интернет;2022-03-27
volkova967@inbox.ru;b2c;ЛС-778153523;Волкова Митофан Аверьянович;volkova967@inbox.ru;+7(980)774-80-59;2025-11-04;3;0;2;"Антивирус;Интернет;VPN;Облако";2020-11-22
muravev@burovlapin.biz;b2b;ЛС-782245933;Муравьев Синклитикия Тарасович;muravev@burovlapin.biz;+7(910)196-14-68;2025-10-25;5;0;5;"Облако;Интернет;ТВ;Телефония";2023-07-12
79253176816;b2c;ЛС-541875646;Рожков Эммануил Константиновна;rozhkov746@inbox.ru;+7(925)317-68-16;2025-06-27;0;0;0;"Облако;VPN;Интернет;ТВ";2020-02-04
konovalova665@mail.ru;b2c;ЛС-779649673;Коновалова Мартын Святославовна;konovalova665@mail.ru;+7(905)677-79-19;2025-12-27;7;0;1;"Антивирус;Облако";2023-12-12
morozova@abramov.tech;b2b;ЛС-528095701;Морозова Эраст Адрианович;morozova@abramov.tech;+7(903)796-24-97;2025-12-15;11;0;0;"Интернет;ТВ;Антивирус";2025-02-14
kharitonov@kirillova.group;b2b;ЛС-160967904;Харитонов Илья Валерьянович;kharitonov@kirillova.group;+7(916)422-60-55;2025-12-23;29;0;2;"Антивирус;Интернет;Облако;Телефония";2025-02-01
bolshakova@emelyanova.company;b2b;ЛС-613578452;Большакова Касьян Георгиевна;bolshakova@emelyanova.company;+7(903)918-71-74;2025-12-24;9;3;0;"ТВ;VPN;Антивирус";2022-10-13
rogov339@inbox.ru;b2c;;Рогов Аскольд Тихонович;rogov339@inbox.ru;+7(916)810-22-78;2024-08-19;0;0;0;"Интернет;Облако;Телефония;VPN";2020-11-17
